drug,concentration,model,feature_set,train_fraction_of_pool,n_train,n_test,seed,rmsd,r2,runtime_s
AMP,781.0,Lasso (additive),bare,0.003,158,2765,1002,0.5987346825064268,0.2470764319815455,0.012192582944408059
AMP,781.0,Decision tree,bare,0.003,158,2765,1002,0.8264242281913943,-0.43445900587355357,0.0006567079108208418
AMP,781.0,LightGBM,bare,0.003,158,2765,1002,0.5569708559949007,0.3484511215445024,0.06504945806227624
AMP,781.0,Linear (+ pairwise),pw,0.003,158,2765,1002,2.7057256035418145,-14.376219224491775,0.0014065839350223541
AMP,781.0,Lasso (+ pairwise),pw,0.003,158,2765,1002,0.6048570613890996,0.23159962158799663,0.5936019159853458
AMP,781.0,Linear (additive),bare,0.003,158,2765,1003,0.5821818565133694,0.28813212755605344,0.00033516716212034225
AMP,781.0,Lasso (additive),bare,0.003,158,2765,1003,0.57605309314496,0.303041232745915,0.012658708030357957
AMP,781.0,Decision tree,bare,0.003,158,2765,1003,0.7923644602363736,-0.3186575803604972,0.0006675838958472013
AMP,781.0,LightGBM,bare,0.003,158,2765,1003,0.5523395064959239,0.3592416492796099,0.06464533391408622
AMP,781.0,Linear (+ pairwise),pw,0.003,158,2765,1003,2.3156966908539953,-10.262775042417687,0.0014117499813437462
AMP,781.0,Lasso (+ pairwise),pw,0.003,158,2765,1003,0.5865463050672012,0.27741878609472015,0.43157316697761416
AMP,781.0,Linear (additive),bare,0.01,525,2765,1001,0.5697222675851875,0.3182762126451253,0.00036516692489385605
AMP,781.0,Lasso (additive),bare,0.01,525,2765,1001,0.5677616279160689,0.32296030125058584,0.012734540970996022
AMP,781.0,Decision tree,bare,0.01,525,2765,1001,0.7613077102182189,-0.21731371779324338,0.001130125019699335
AMP,781.0,LightGBM,bare,0.01,525,2765,1001,0.5359591364304608,0.39668320248313604,0.21048745792359114
AMP,781.0,Linear (+ pairwise),pw,0.01,525,2765,1001,0.5784081768035035,0.2973308164967161,0.002646292094141245
AMP,781.0,Lasso (+ pairwise),pw,0.01,525,2765,1001,0.5458686775354971,0.3741670725473122,0.05454895808361471
AMP,781.0,Linear (additive),bare,0.01,525,2765,1002,0.5680016414526247,0.32238776153830373,0.0003616251051425934
AMP,781.0,Lasso (additive),bare,0.01,525,2765,1002,0.5669144730915544,0.3249792103054846,0.013541124993935227
AMP,781.0,Decision tree,bare,0.01,525,2765,1002,0.7312961598695409,-0.12322987360190552,0.0011867498978972435
AMP,781.0,LightGBM,bare,0.01,525,2765,1002,0.5445765024700343,0.3771264969684004,0.21740395901724696
AMP,781.0,Linear (+ pairwise),pw,0.01,525,2765,1002,0.5770505885071969,0.3006254309286056,0.002722374862059951
AMP,781.0,Lasso (+ pairwise),pw,0.01,525,2765,1002,0.5450305847859401,0.37608732704645487,0.05415170779451728
AMP,781.0,Linear (additive),bare,0.01,525,2765,1003,0.569846926517654,0.31797784882185165,0.0003529160749167204
AMP,781.0,Lasso (additive),bare,0.01,525,2765,1003,0.5679441073224875,0.32252502824102125,0.013899416895583272
