drug,concentration,model,feature_set,train_fraction_of_pool,n_train,rmsd_mean,rmsd_std,r2_mean,r2_std,runtime_mean
AMP,781.0,Linear (additive),bare,0.5,26266,0.5572836424195707,0.00019361577954051236,0.3477190635424347,0.0004532291994858767,0.003192819577331344
AMP,781.0,Linear (additive),bare,0.7,36772,0.5571277670748805,0.0001051517340846904,0.34808394272526716,0.00024607065207481735,0.004416846980651219
AMP,781.0,Linear (additive),bare,0.9,47278,0.557108671465632,0.00007181220873938602,0.3481286391939076,0.00016806069975747997,0.005439680690566699
AMP,781.0,Linear (additive),bare,0.99,52006,0.557078765091736,0.000011013989012754502,0.34819863110122956,0.000025773549381404707,0.005602861056104302
AZT,36.0,Decision tree,bare,0.0003,16,0.5365057349509765,0.05265399570457878,-1.034922912360236,0.39502586534461914,0.0003868336013207833
AZT,36.0,Decision tree,bare,0.001,53,0.5898710161970545,0.1239864287360448,-1.5161725944604898,0.9986247825701083,0.00045847233074406785
AZT,36.0,Decision tree,bare,0.003,158,0.5345080718701579,0.03680318481294969,-1.0132532736145878,0.2709505065878628,0.0007155276834964752
AZT,36.0,Decision tree,bare,0.01,525,0.5293391521676505,0.02713275556345628,-0.9717301393177592,0.20185928979937914,0.0012298889923840761
AZT,36.0,Decision tree,bare,0.03,1576,0.4818119403203312,0.026457334686982605,-0.6339797847836111,0.17647483809899026,0.002698611312856277
AZT,36.0,Decision tree,bare,0.1,5253,0.4745899811919631,0.024602321901008622,-0.5850168855152348,0.1635458008892869,0.007780028041452169
AZT,36.0,Decision tree,bare,0.3,15759,0.435994167144699,0.01575900346794787,-0.3364689068213509,0.0964087105858823,0.02237234722512464
AZT,36.0,Decision tree,bare,0.5,26266,0.42605303677803513,0.0036189283929636776,-0.27516864635907345,0.021608811370257212,0.03672738862223923
AZT,36.0,Decision tree,bare,0.7,36772,0.430536799295999,0.0024433744775282447,-0.3021148362710366,0.014793760910591555,0.05022548596995572
AZT,36.0,Decision tree,bare,0.9,47278,0.426200596811682,0.0030956558378435815,-0.27603559144199535,0.018572366985718933,0.06464280560612679
AZT,36.0,Decision tree,bare,0.99,52006,0.42895490813940196,0.0037523899403735677,-0.29260206259056215,0.022620223978642176,0.06987824966199696
AZT,36.0,Lasso (+ pairwise),pw,0.0003,16,0.3785606927215445,0.001105987198298197,-0.006683413746710072,0.005879158275973932,0.013554694674288234
AZT,36.0,Lasso (+ pairwise),pw,0.001,53,0.383119387967554,0.004508663454701979,-0.031164048691531592,0.024185562051567387,0.045405111353223525
AZT,36.0,Lasso (+ pairwise),pw,0.003,158,0.37653978552530915,0.001955550769493192,0.004023806907837879,0.010331399201701213,0.7560715135963013
AZT,36.0,Lasso (+ pairwise),pw,0.01,525,0.3659710201630333,0.007810955114024617,0.058880724126191684,0.04033421351762054,0.05646141703861455
AZT,36.0,Lasso (+ pairwise),pw,0.03,1576,0.3489543298430003,0.003971666684219441,0.1445510572106149,0.019533991427044144,0.04448365303687751
AZT,36.0,Lasso (+ pairwise),pw,0.1,5253,0.33910289039541236,0.0020552978545010647,0.1922201312182873,0.009806149791698079,0.12013109726831317
AZT,36.0,Lasso (+ pairwise),pw,0.3,15759,0.33641064732436105,0.0006529265932495022,0.20501311781050302,0.0030841827120194863,0.29678470858683187
AZT,36.0,Lasso (+ pairwise),pw,0.5,26266,0.33559267582087166,0.0003814005527301098,0.20887569262967054,0.0017978303665837634,0.4678025417185078
AZT,36.0,Lasso (+ pairwise),pw,0.7,36772,0.3354849120449133,0.0002407335962315565,0.20938410389827802,0.0011345680160968095,0.5687623609943936
AZT,36.0,Lasso (+ pairwise),pw,0.9,47278,0.33508919351433536,0.00012357776215263241,0.21124833238400673,0.0005817282385274625,0.8850639720913023
AZT,36.0,Lasso (+ pairwise),pw,0.99,52006,0.3350703212876515,0.00006798018656390409,0.21133722475262098,0.0003199964322634163,0.9528112076222897
AZT,36.0,Lasso (additive),bare,0.0003,16,0.3780193655496589,0.0007538790502270482,-0.0038033849558803587,0.004004793698859555,0.013578361443554362
AZT,36.0,Lasso (additive),bare,0.001,53,0.3848918179093175,0.012276114987089222,-0.041336760976927144,0.06699277883369059,0.014189417008310556
AZT,36.0,Lasso (additive),bare,0.003,158,0.37679397466319003,0.001523278802746719,0.0026857206128727182,0.008056179199725783,0.013333305638904372
AZT,36.0,Lasso (additive),bare,0.01,525,0.36950702241561073,0.006987161026343933,0.040669365325165664,0.03607776822242167,0.013212638984744748
AZT,36.0,Lasso (additive),bare,0.03,1576,0.3608050708616774,0.0016190065395453432,0.08552781257895947,0.008216376400816752,0.014115249970927835
AZT,36.0,Lasso (additive),bare,0.1,5253,0.3599166976036326,0.0004041698975934425,0.09003694024837705,0.002043223146115024,0.017821527707080047
AZT,36.0,Lasso (additive),bare,0.3,15759,0.3592210098391062,0.00041369884759017084,0.0935512604002298,0.002088307254551167,0.020487847349916894
AZT,36.0,Lasso (additive),bare,0.5,26266,0.3591574808988298,0.00020915955272066676,0.09387244285676821,0.0010555511999409378,0.030448263976722956
AZT,36.0,Lasso (additive),bare,0.7,36772,0.35919227576310897,0.00009048714262461621,0.09369703122120532,0.0004566231271569116,0.03084945826170345
